client,available,held,total,locked
777,167400.25,0.0,167400.25,true
1536,149773.08,44280.83,194053.9,false
1062,159002.1,21643.58,180645.67,false
1550,191765.4,32754.3,224519.7,false
177,136153.88,0.0,136153.88,true
1144,71895.32,0.0,71895.32,true
1888,34082.47,0.0,34082.47,true
323,35128.03,41592.01,76720.05,false
1812,162322.33,4754.55,167076.88,false
1836,176316.05,0.0,176316.05,true
1056,205675.5,47145.11,252820.61,false
421,82869.5,25402.79,108272.29,false
991,35351.445,10591.3,45942.746,false
848,79323.25,0.0,79323.25,true
843,28747.852,0.0,28747.852,true
1929,702.0781,31574.17,32276.248,false
54,230131.7,13752.74,243884.44,false
498,47257.56,0.0,47257.56,true
1067,14759.072,43631.9,58390.97,false
202,204219.9,0.0,204219.9,true
1681,49970.887,0.0,49970.887,true
676,227722.03,0.0,227722.03,true
1915,4941.9204,0.0,4941.9204,true
410,46976.08,0.0,46976.08,true
345,131718.56,44283.31,176001.88,false
1875,36689.37,0.0,36689.37,true
1101,206936.44,29093.86,236030.3,false
1661,408840.38,17076.23,425916.6,false
1437,100502.95,0.0,100502.95,true
483,77144.11,15235.5,92379.61,false
558,185176.53,7617.49,192794.02,false
194,172348.06,43011.99,215360.05,false
570,42389.25,4042.73,46431.98,false
519,44453.1,41991.51,86444.61,false
1835,191745.2,0.0,191745.2,true
829,80529.11,18251.39,98780.5,false
135,404849.06,0.0,404849.06,true
199,57429.336,0.0,57429.336,true
868,61248.47,0.0,61248.47,true
1567,154389.94,31921.95,186311.89,false
141,1955.3848,0.0,1955.3848,true
151,93289.42,12619.41,105908.83,false
901,355388.03,31416.87,386804.9,false
1731,21725.207,0.0,21725.207,true
813,29477.984,0.0,29477.984,true
1594,130590.05,0.0,130590.05,true
208,344723.38,0.0,344723.38,true
278,79763.64,35773.86,115537.5,false
423,29238.691,0.0,29238.691,true
362,77129.36,2364.72,79494.08,false
1385,125769.914,29672.39,155442.31,false
1371,22874.81,0.0,22874.81,true
255,16537.357,0.0,16537.357,true
1995,136331.17,30024.39,166355.56,false
1300,168976.78,9551.61,178528.39,false
1167,38383.383,0.0,38383.383,true
1633,34258.906,40993.48,75252.39,false
173,146863.12,0.0,146863.12,true
628,47349.375,2496.53,49845.906,false
1564,3854.291,0.0,3854.291,true
1943,72650.18,3647.9,76298.08,false
783,38531.13,0.0,38531.13,true
251,285374.47,0.0,285374.47,true
743,133020.9,0.0,133020.9,true
1534,6670.2188,0.0,6670.2188,true
1446,9449.131,0.0,9449.131,true
237,78005.54,49441.71,127447.25,false
653,129067.41,33844.14,162911.55,false
46,93421.39,0.0,93421.39,true
1607,34747.695,15429.52,50177.215,false
1886,217070.31,0.0,217070.31,true
117,14975.919,0.0,14975.919,true
158,219026.06,31045.98,250072.05,false
1542,196445.92,5377.69,201823.61,false
890,157980.97,42230.97,200211.94,false
200,7881.789,0.0,7881.789,true
553,40559.26,7297.42,47856.68,false
1396,114200.484,31033.5,145233.98,false
1674,187087.27,0.0,187087.27,true
1025,23425.059,0.0,23425.059,true
1469,31121.73,0.0,31121.73,true
564,382689.84,0.0,382689.84,true
1453,16799.598,0.0,16799.598,true
1388,9767.027,0.0,9767.027,true
945,23870.45,0.0,23870.45,true
306,53800.945,0.0,53800.945,true
881,39308.914,0.0,39308.914,true
1637,223304.5,33960.83,257265.33,false
1986,108671.95,0.0,108671.95,true
233,61179.996,0.0,61179.996,true
65,274189.3,0.0,274189.3,true
286,40778.18,0.0,40778.18,true
1939,45733.906,41607.92,87341.83,false
1261,56752.582,0.0,56752.582,true
900,199468.14,0.0,199468.14,true
1543,55397.89,0.0,55397.89,true
283,20846.715,0.0,20846.715,true
982,26548.672,4768.93,31317.602,false
927,97340.56,0.0,97340.56,true
517,31979.938,42567.69,74547.625,false
1,262812.2,38496.39,301308.56,false
90,216304.6,29144.8,245449.39,false
1342,147256.38,0.0,147256.38,true
1330,113079.02,39610.94,152689.97,false
1092,46017.473,0.0,46017.473,true
1296,5821.336,0.0,5821.336,true
1838,24699.92,0.0,24699.92,true
1544,104085.42,0.0,104085.42,true
102,179879.62,0.0,179879.62,true
948,204650.78,0.0,204650.78,true
129,41201.06,42024.51,83225.57,false
1994,248126.4,24168.4,272294.8,false
1468,135860.05,45496.03,181356.08,false
1691,95869.98,0.0,95869.98,true
74,52232.96,0.0,52232.96,true
21,338220.3,12076.35,350296.66,false
1934,20759.342,30524.47,51283.812,false
1618,299554.38,0.0,299554.38,true
1326,249271.36,45812.14,295083.5,false
702,34269.9,16540.74,50810.64,false
1547,33346.152,25427.84,58773.992,false
552,1924.0078,31005.94,32929.945,false
1178,152663.16,0.0,152663.16,true
792,149964.16,0.0,149964.16,true
1412,53544.31,0.0,53544.31,true
1050,204456.14,7724.32,212180.45,false
235,58920.312,0.0,58920.312,true
318,41520.914,15598.44,57119.355,false
782,977.7676,0.0,977.7676,true
1140,26262.033,17771.21,44033.242,false
1139,202534.34,12246.22,214780.56,false
1716,73623.41,41117.85,114741.26,false
1852,122025.71,0.0,122025.71,true
148,30834.34,0.0,30834.34,true
399,166748.02,3527.76,170275.78,false
1148,3979.1396,0.0,3979.1396,true
670,64982.074,0.0,64982.074,true
1061,214719.56,0.0,214719.56,true
1699,153794.2,49163.04,202957.25,false
